canonical_name,branches_access,price,duration,visits,freeze,source_contract_id,decision_basis,review_status,note
Абонемент 2 недели Фитнес,Продажа,490,0,,,00000144503,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент в солярий на 100 минут,Продажа,2000,2,,,00000151876,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент в солярий на 100+50 минут,Продажа,1200,3,,,00000141335,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент в солярий на 50 + 50 минут,Продажа,900,2,,,00000097454,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент в солярий на 50 минут,Продажа,1500,1,,,00000151978,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
АБОНЕМЕНТ ДЖАМПИНГ 12 пос,Продажа,3600,60,,,00000098113,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
"АБОНЕМЕНТ лимфодренажная тренировка (10 посещений),1 мес.",Продажа,7500,30,,,00000147965,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИ 24 месяцев,Продажа,23980,24,,,00000148916,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИ 6+6 месяцев,Продажа,13990,0,,,00000122235,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 12 месяцев,Все,0,12,,,00000152032,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),Все,11990,14,,,00000148277,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 12 месяцев (3 месяца заморозки в подарок),Все,11990,12,,90,00000138863,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 12 месяцев (подарок),Все,14990,15,,,00000152422,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,Все,15990,12,,60,00000147499,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
